Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1961373,1,2,2.0,4.0,1,1,2023-09-08
TXN_4977031,0,4,3.0,12.0,0,0,2023-05-16
TXN_4271903,2,4,1.0,6.0,1,0,2023-07-19
TXN_7034554,4,2,5.0,10.0,2,1,2023-04-27
TXN_3160411,1,2,2.0,4.0,2,0,2023-06-11
TXN_2602893,6,5,4.0,20.0,1,1,2023-03-31
TXN_4433211,3,3,3.0,9.0,2,1,2023-10-06
TXN_6699534,5,4,4.0,16.0,0,1,2023-10-28
TXN_4717867,3,5,3.0,15.0,2,1,2023-07-28
TXN_2064365,5,5,4.0,20.0,2,0,2023-12-31
TXN_2548360,4,5,5.0,25.0,0,1,2023-11-07
TXN_7619095,5,2,4.0,8.0,0,0,2023-05-03
TXN_9437049,2,5,1.0,5.0,2,1,2023-06-01
TXN_8915701,3,2,1.5,3.0,2,0,2023-03-21
TXN_2847255,4,3,5.0,15.0,1,0,2023-11-15
TXN_3765707,5,1,4.0,4.0,2,1,2023-06-10
TXN_6769710,3,2,3.0,6.0,0,0,2023-02-24
TXN_8876618,0,5,3.0,15.0,0,1,2023-03-25
TXN_3709394,3,4,3.0,12.0,0,1,2023-01-15
TXN_3522028,6,5,4.0,20.0,0,0,2023-04-04
TXN_3567645,6,4,4.0,16.0,1,1,2023-03-30
TXN_5132361,5,3,4.0,12.0,2,1,2023-12-01
TXN_2616390,5,2,4.0,8.0,2,1,2023-09-18
TXN_9400181,5,5,4.0,20.0,0,0,2023-06-03
TXN_7958992,6,3,4.0,6.0,2,1,2023-12-13
TXN_5183041,2,5,1.0,5.0,1,0,2023-04-20
TXN_5695074,3,4,3.0,12.0,1,1,2023-04-10
TXN_8467949,6,5,4.0,20.0,1,1,2023-03-11
TXN_1736287,3,5,2.0,10.0,2,1,2023-06-02
TXN_8927252,3,2,1.0,6.0,1,1,2023-11-06
TXN_9677376,6,4,4.0,16.0,2,0,2023-08-15
TXN_8853997,6,2,4.0,8.0,2,1,2023-10-09
TXN_9130559,5,1,4.0,4.0,1,1,2023-05-28
TXN_6855453,3,4,3.0,12.0,2,0,2023-07-17
TXN_1080432,4,2,5.0,10.0,1,0,2023-04-29
TXN_2655815,6,4,4.0,16.0,2,1,2023-06-08
TXN_6688524,1,4,2.0,8.0,2,1,2023-06-29
TXN_2083138,6,3,4.0,12.0,2,0,2023-04-17
TXN_2427584,5,4,4.0,16.0,2,1,2023-12-22
TXN_6650263,7,2,1.5,6.0,2,1,2023-01-10
TXN_9620080,3,4,3.0,12.0,2,1,2023-10-02
TXN_1491578,2,2,1.0,2.0,2,1,2023-02-23
TXN_5455792,4,3,5.0,15.0,0,1,2023-03-22
TXN_8078640,3,4,3.0,12.0,2,0,2023-11-03
TXN_9499313,3,5,3.0,15.0,2,1,2023-03-02
TXN_8201146,3,5,3.0,15.0,0,1,2023-06-26
TXN_8230936,0,3,3.0,9.0,2,1,2023-05-02
TXN_7742742,0,5,3.0,15.0,2,1,2023-09-05
TXN_6342161,4,5,5.0,25.0,2,1,2023-01-08
TXN_8914892,3,5,5.0,25.0,2,1,2023-03-15
TXN_3363746,6,3,4.0,12.0,1,1,2023-11-25
TXN_8614868,6,5,4.0,20.0,2,1,2023-12-05
TXN_5522862,2,5,1.0,2.0,1,1,2023-03-19
TXN_3578141,0,5,3.0,15.0,2,1,2023-06-27
TXN_2080895,0,5,3.0,3.0,2,0,2023-04-19
TXN_6421134,5,4,4.0,16.0,0,1,2023-11-03
TXN_8813311,3,5,3.0,15.0,2,0,2023-10-07
TXN_9023317,4,1,5.0,5.0,2,1,2023-09-30
TXN_8051289,3,1,3.0,3.0,2,0,2023-10-09
TXN_2537617,5,1,4.0,4.0,0,1,2023-05-27
TXN_9099694,3,3,5.0,15.0,2,1,2023-11-18
TXN_9230615,6,4,4.0,16.0,2,1,2023-06-01
TXN_4987129,5,3,3.0,6.0,2,0,2023-10-20
TXN_8501819,3,5,3.0,6.0,0,1,2023-03-30
TXN_3068204,2,1,1.0,1.0,1,1,2023-10-03
TXN_8427104,4,2,3.0,10.0,2,0,2023-10-27
TXN_8471743,3,5,3.0,15.0,2,0,2023-04-06
TXN_2621580,7,2,1.5,3.0,0,0,2023-03-22
TXN_4726376,0,2,3.0,6.0,1,0,2023-01-31
TXN_6044979,3,1,1.0,1.0,0,0,2023-12-08
TXN_4238417,4,2,5.0,10.0,2,1,2023-06-19
TXN_1900620,6,2,4.0,8.0,1,1,2023-12-14
TXN_6420335,1,1,2.0,2.0,0,1,2023-07-16
TXN_3858209,5,4,4.0,16.0,0,1,2023-02-22
TXN_8735480,7,5,1.5,7.5,0,1,2023-06-02
TXN_3829165,3,4,3.0,12.0,0,0,2023-06-15
TXN_3748616,1,2,2.0,4.0,1,0,2023-12-09
TXN_1993289,5,2,4.0,8.0,2,0,2023-04-18
TXN_2123367,2,2,1.0,2.0,2,1,2023-11-07
TXN_5266394,0,3,3.0,9.0,0,0,2023-10-28
TXN_5107946,0,4,3.0,12.0,1,1,2023-12-22
TXN_8035512,7,3,3.0,4.5,0,1,2023-10-29
TXN_8718498,0,5,3.0,15.0,1,1,2023-04-30
TXN_3955361,2,5,1.0,5.0,2,1,2023-04-02
TXN_9487821,3,1,5.0,5.0,2,1,2023-05-24
TXN_4132730,3,5,1.0,5.0,2,0,2023-03-12
TXN_8976658,7,2,1.5,3.0,1,0,2023-08-16
TXN_5455936,3,5,3.0,15.0,2,0,2023-10-28
TXN_2725602,3,5,3.0,15.0,1,1,2023-09-10
TXN_3011323,1,3,2.0,6.0,1,1,2023-03-07
TXN_6289610,3,3,3.0,6.0,0,1,2023-08-07
TXN_8268061,4,3,5.0,15.0,2,1,2023-08-20
